risk,date_converted
1,2022-01-01
1,2022-01-05
1,2022-01-06
3,2022-01-20
3,2022-01-22
3,2022-01-24
1,2022-01-26
3,2022-01-29
1,2022-02-02
1,2022-02-05
3,2022-02-15
3,2022-02-16
3,2022-02-20
1,2022-02-20
3,2022-02-26
2,2022-03-08
3,2022-03-14
1,2022-03-18
1,2022-03-24
3,2022-03-25
1,2022-03-25
3,2022-03-26
1,2022-04-01
1,2022-04-12
1,2022-04-17
1,2022-04-18
3,2022-04-26
3,2022-04-30
2,2022-05-01
3,2022-05-05
3,2022-05-06
3,2022-05-08
2,2022-05-09
3,2022-05-14
1,2022-05-15
3,2022-05-18
1,2022-05-20
1,2022-05-21
3,2022-05-23
3,2022-05-23
1,2022-05-24
1,2022-05-28
3,2022-05-29
2,2022-06-01
3,2022-06-04
1,2022-06-06
1,2022-06-12
3,2022-06-13
1,2022-06-19
3,2022-06-22
1,2022-06-23
1,2022-06-24
3,2022-06-28
1,2022-06-29
1,2022-07-01
1,2022-07-04
3,2022-07-04
3,2022-07-05
3,2022-07-05
1,2022-07-07
3,2022-07-15
3,2022-07-15
3,2022-07-15
1,2022-07-16
1,2022-07-19
1,2022-07-20
3,2022-07-29
1,2022-08-06
3,2022-08-08
2,2022-08-12
1,2022-08-15
1,2022-08-15
1,2022-08-19
3,2022-08-23
3,2022-08-24
3,2022-08-29
1,2022-08-29
2,2022-09-01
1,2022-09-02
3,2022-09-07
1,2022-09-08
3,2022-09-14
1,2022-09-14
3,2022-09-17
1,2022-09-17
2,2022-09-21
3,2022-09-22
1,2022-09-27
1,2022-09-30
3,2022-10-01
1,2022-10-01
3,2022-10-01
2,2022-10-01
1,2022-10-10
3,2022-10-14
2,2022-10-27
3,2022-10-28
3,2022-11-03
1,2022-11-04
1,2022-11-09
1,2022-11-16
2,2022-11-17
3,2022-11-18
1,2022-11-19
3,2022-11-21
3,2022-11-21
1,2022-11-21
1,2022-12-01
3,2022-12-04
1,2022-12-05
3,2022-12-06
2,2022-12-06
1,2022-12-07
3,2022-12-12
3,2022-12-14
1,2022-12-15
1,2022-12-17
3,2022-12-18
1,2022-12-19
1,2022-12-22
3,2022-12-22
1,2022-12-24
2,2022-12-24
2,2022-12-25
1,2022-12-26
1,2022-12-27
2,2022-12-31
1,2022-03-12
1,2022-03-20
1,2022-04-03
1,2022-04-16
2,2022-05-08
1,2022-05-21
3,2022-05-15
1,2022-05-28
1,2022-05-29
1,2022-06-05
1,2022-06-05
1,2022-06-12
2,2022-06-19
1,2022-06-26
3,2022-07-03
1,2022-07-03
1,2022-07-10
1,2022-07-17
1,2022-07-31
3,2022-08-07
1,2022-08-14
1,2022-08-14
1,2022-08-27
1,2022-08-28
1,2022-09-04
2,2022-09-10
1,2022-09-10
1,2022-09-11
3,2022-09-11
1,2022-09-17
1,2022-09-17
1,2022-09-17
1,2022-09-25
3,2022-10-02
2,2022-10-02
1,2022-10-02
1,2022-10-09
1,2022-10-09
1,2022-10-15
1,2022-10-16
1,2022-10-30
1,2022-11-06
1,2022-11-20
