City,Engels2,Baltimore,Saki,Belbek,Olenya,Mozdok,Savasleyka
Kyiv,1102.36,3780.14,638.98,680.92,1974.89,1294.21,963.16
Vinnytsia,1279.83,3928.64,602.21,637.77,2121.31,1371.71,1162.88
Cherkasy,1025.18,3668.16,498.42,541.81,2081.6,1143.82,961.08
Chernihiv,1030.74,3730.59,732.27,775.68,1856.26,1310.74,849.52
Chernivtsi,1490.07,4120.55,683.34,709.28,2248.18,1520.9,1371.61
Dnipro,866.18,3449.25,391.94,434.8,2190.65,901.95,921.16
Donetsk,716.21,3241.54,458.26,491.48,2252.91,704.59,882.2
Ivano-Frankivsk,1550.56,4203.88,796.07,822.74,2192.66,1624.11,1395.95
Kharkiv,720.61,3372.24,582.28,624.4,2023.39,938.5,729.35
Kherson,1124.99,3632.71,188.71,230.23,2392.48,990.03,1187.98
Khmelnytskyi,1376.63,4035.47,693.01,725.86,2113.49,1480.19,1232.25
Kropyvnytskyi,1048.12,3652.58,394.05,437.22,2185.08,1083.92,1030.96
Luhansk,591.4,3137.58,581.09,612.66,2201.16,671.36,791.37
Lutsk,1455.26,4146.69,879.66,913.5,1985.2,1640.87,1244.19
Lviv,1567.73,4244.28,890.84,919.96,2100.77,1696.95,1375.78
Mykolaiv,1144.95,3677.95,243.59,283.04,2356.19,1045.23,1181.64
Odesa,1254.63,3776.56,269.8,298.3,2414.15,1126.09,1280.14
Poltava,849.44,3488.99,506.42,550.41,2064.88,1000.54,834.96
Rivne,1394.11,4081.94,822.82,857.83,1988.66,1574.83,1196.41
Simferopol,1151.84,3530.55,43.26,50.4,2580.17,844.2,1302.57
Sumy,796.56,3482.16,654.51,698.53,1918.33,1081.08,709.04
Ternopil,1466.41,4132.97,780.1,810.85,2111.01,1579.27,1300.21
Uzhgorod,1728.67,4383.43,943.13,965.28,2258.61,1791.47,1557.0
Zaporozhye,892.77,3439.44,328.72,370.55,2260.74,859.86,978.39
Zhytomyr,1236.3,3912.38,682.83,721.31,2007.4,1402.2,1080.25
